keyword,location,text
avalanche,India,"4 soldiers, 5 civilians killed in avalanches in Jammu and Kashmir. https://t.co/jhOYNZJ74W https://t.co/cy8dFRz6VW"
drowned,"Pretoria, South Africa",-The guy who laughed himself to death -The guy who got killed by a street cleaner -The body builder lady who dry drowned -T…
collapsed,"Fort Worth, TX",IM DECEASED. MY LUNGS.. COLLAPSED. 😭😭😭😭💀💀⚰️ https://t.co/wbD8uNE2vX
oil%20spill,the porn hub,The DP Oil Spill
exploded,,Damn right motherfuckers just walked on to the field and the Superdome just exploded into cho…
sirens,,"darkness sirens time to time shaking of the ground no electricity no water no signal tough days mare,, pero kalma lang"
damage,2019Finalist @theTECAs awards,I’d suggest ‘Cyber Crime’ and ‘Fraud’ is now a national emergency within the UK.…
chemical%20emergency,Victoria,The chemical hazard at Cobram is now safe. For more info: https://t.co/gOvRStF57J #vichazmat
rioting,Jaipur,"British tank in the street after bloody rioting in Calcutta between Hindus and Muslims, 1946 https://t.co/lZ3s9GhlAZ"
bombed,"Belfast, Northern Ireland","Anyone else see the irony in SFIRA, who abstain from Westminster yet still take a wage; who bombed the UK and damag… https://t.co/HEEAEURUCm"
survive,Qatar,There's more. The UK is still denying the vile racism she's faced for 3 years. Enough is enough!! Thank God A…
fire,België,she fire
deluge,she/her,"I look forward to the deluge of ""Is it mortally okay if I want to bang Ewan McGregor's Black Mask?"" posts…"
mayhem,"LA,CA. DC. Addis.Sanfrancisco","This is good PM but we have a lot of priorities seedlings alone are not our priorities. Wolega, Abducted children,… https://t.co/x7O0l6BXPa"
emergency%20services,SYD / YYZ,"In response to the current #bushfirecrisis, is extending and increasing emergency veterinary services for anima…"
demolished,Kerala,Funny thing is per the revised CRZ regulation made by M…
danger,,Anybody who is not going in your direction does not deserve your association. Friendship is not by force but by choice.…
damage,,#StormBrendan Another clip from Saltcoats around 1330 (high tide). We've switched the power to overhead lines off temp…
aftershock,,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio
drowning,Senffabrik Bautzen,"Every single year, I'm drowning in my tears, I'm drowning in my tears again"
evacuated,Arnstadt,This weekend our volunteers had these gorgeous handmade Red Cross Trauma Teddies waiting for children evacuated by air from…
bombed,,I’ve yet to see condemnation from of these banners and video of the organis… https://t.co/KHowQU4RUN
tragedy,,Huh. I guess people are not suffering so it cant be called a tragedy. Youre completely blinded by your o… https://t.co/3es4YfcAhz
burned,"Paris, France",The trial over Ghylaine Bouchait is underway in Nanterre outside Paris. She burned to death inside her apartment in… https://t.co/79q5mHKINg
razed,Somewhere in the Clouds,"The more I watch this game, the more it's clear that Ohio State was probably the best team in college football this year."
chemical%20emergency,,Chemical Hazard - Advice for Cobram. For more info: https://t.co/L9uP0CsCJL #vichazmat
derail,"Buffalo, NY",And then they moved on and had a great mutually supportive conversation because they are close ideological allies worki…
apocalypse,,👍 on : What to Wear in a Zombie Apocalypse (Zombie Survival Guide) https://t.co/Bbn6CEuM3N
destruction,"Earth, around a yellow dwarf.",At least 30% of the world’s land and seas should be protected in the next decade to prevent the destruction of the planet’s…
attack,Hell-on-Earth-Iowa,It is disingenuous for Bernie supporters to be leading an attack on Warren for her supposed attack on Sanders (which is what…
crash,"Cape Cod, Massachusetts USA",Barnstable Police - Six Transported to Hospital Following Multi-Car Crash Involving Mashpee Ambulance https://t.co/NgZxB9ufO0
injury,,Anyone who can't see this team is special hasn't been watching basketball... Dan I tol… https://t.co/ntT5mzavMV
burning,"Bengaluru, India",darinde...how i wish i could put these in hot burning oil instead of hanging.
chemical%20emergency,"Porto Alegre, Brasil",go ahead and make a playlist with your name. guiding light-muse always-patd bumblebeee-kasabian read my mind-the k… https://t.co/oCq2GVPlOK
casualties,,"#NeelumNeedPakArmy Neelum valley is under severe dangerous circumstances due to heavy snow, landslides and climate catastrop…"
survivors,"Petaling Jaya, Selangor","2/ Soon after, Ruban threatened to sue me unless I deleted my Twitter thread. He did the same to another person who had come fo…"
survivors,Australia,Playing killer is hard enough because it’s purely a solo effort. I’m a survivor ma… https://t.co/RFaMc6veoJ
electrocute,,*my mask eyes electrocute* I’ve just joined I know little to nothing..
terrorism,Hindustan,Things Muslims discuss in their What's App Groups : Love Jihad Radical Islamic Terrorism Islamic Nation Dividing India…
curfew,Philippines,"jin ling sneaking in after breaking curfew jc: *has been sitting in the dark, waiting for jl* where have you been? jl: i was…"
disaster,taekook,"All natural disaster can be affected by global warming, but doesn't mean they didn't exist before. Taehyung showed his co…"
injury,Royaume du Maroc,#DearNamjoon I’m 💯% back from injury rehab. I still listen to PERSONA when I lift because you motivate me so much!🏋🏻‍♀️…
weapons,,Clinton apologies for the US government using radiation weapons on US ci... https://t.co/ADpgepxktS via
mass%20murder,,For sure. It’s not like Americans haven’t been snuck out with Canadian passports before. The whole notion this mass mur…
mudslide,,"Not a wine person, but I can tell you that they do not go with Midori Sours. Chocolate chip cookies go best with a mudslide."
explode,,". ""We need to explode this myth that we have to follow one set of standards or the other... The UK will be…"
bombing,"Meanwhile, Scotland","retweet 👇 ...to fix a problem, deal with the root of the problem Marine Le Pen: ""Macron tells us that we are fighting terr…"
smoke,"Kyoto, Japan",“Melbourne's air quality 'worst in the world' as bushfires continue to burn across Victoria | Australia news | The… https://t.co/23tuFrLWXJ
eyewitness,"Wilkes-Barre, PA",https://t.co/Pvel8bisjz. The latest on the investigation tonight on Eyewitness News at 11.
war%20zone,,They'll turn Iran into a war z… https://t.co/fxgv1N2Ti5
derailment,"London, England",Been a derailment ay Hitchin
violent%20storm,,Squally showers from #StormBrendan could bring strong convective gusts to affecting the portions of the #Ireland with loc…
rescue,,"This is Jesse Conger, a former Search and Rescue Diver for the Marines. He went missing on August 14, 2019 from Scottsdale…"
blaze,"King’s Lynn, The EU 🇪🇺","What is the definition of ""major interview?"" Let's start with when will #BrexitJohnson #ReleaseTheRussiaReport ??"
drought,izone and fromis dorm,bruh it’s so hard having fromis and izone as your ults idk how can i still stand this drought having no content from fromizone for months🤠
cliff%20fall,"New York, NY","British tourist, 21, dies falling off Australian cliff while taking selfie https://t.co/OI34bFgkiE"
whirlwind,,#PatchTuesday #crypt32.dll We’re just missing the information if we have to patch first the servers (IIS exposed) o… https://t.co/KtEr4wTxul
weapons,,Norway's democratically-elected gov't wasn't overthrown in a coup sponsored by the CIA…
blaze,Sur mars,I’m on fire I’ve been a blaze https://t.co/T4fAkJiKl0
razed,Abuja,"A fire outbreak has razed down shops, ravaging stuff worth over millions at the old market in Sokoto. May Allah rescue and forgive us!"
blizzard,UK,Blizzard is pushing World of Warcraft into the future with Visions of N’Zoth update &gt; https://t.co/MDZ0s18xGi… https://t.co/1FilV29oMx
drown,hell,"Drop every pretense, drown every sense you own for that girl that you love"
terrorism,,Lol at justifying American terrorism by claiming that Solimani was t… https://t.co/55d1xV7chB
epicentre,,Let us make 2020 a watershed year for the nation. Let us #MakeBlockchainInIndia and make India the epicentre of the Global Bl…
rescuers,United Kingdom,HERE IS WHAT CLEDWARD THINKS of the Invasive Alien Species Order 2019 (it makes criminals out of wildlife rescuers). If…
wrecked,"Evansville, IN",Talladega Brian Vicker wrecked Junior and Johnson to win
airplane%20accident,"French River, Ontario, Canada","It is unimaginable to have 174 people gone in one ""accident."" How could anyone point a surface to air missile at a… https://t.co/7Abwo7HXuz"
mass%20murder,,Let’s not politicize the mass murder of 57 Canadians by the Iranian regime. https://t.co/aeYHxH09ui
crush,"Arizona, USA",First impression: yo this guy's HS art is NUTS Your nickname in my head: Jerry (Seinfeld.) Closeness… https://t.co/qNfrNOpScs
damage,"London, United Kingdom","2/2 and also, 14.1: ""You must justify the trust that other people place in you by acting with honesty and integrity…"
upheaval,Nigeria,There’s a major upheaval coming in the Nigerian political system.
landslide,,"Yep,go back to their favorite talking point. Russia!! Russia! Then,when it is a Trump landslide. Back to the future 2…"
quarantined,Botswana Gaborone,Heavily medicated like they’re quarantined. https://t.co/QhGs4USbCr
refugees,East Africa,Our good friends over at have kindly set up a fundraiser to support our work to improve literacy amongs… https://t.co/s7XGvWvhIS
police,"South West, England",#CourierFraud Nationally nearly two thirds of courier fraud victims were women over 75 Here's how you can beat the courier f…
deaths,Hong Kong,"CCP is mimicking Nazi's evil acts, but still there are people arguing the number of deaths cannot compare…"
bioterrorism,"Washington,DC",That sandwich was bioterrorism.
destroyed,,You guys destroyed the dreams of 11 boy who are really tryin to reach their dreams ! We need to fight ! X1 fought to stay t…
catastrophic,hell,if you need me i’ll be attaching catastrophic meaning to minor events
forest%20fires,vaikunth,This is getting more &amp; more serious.... Is The Dessert Barbaric Cult fighting a Covert war 👿 ?? https://t.co/hdrhGfsbpN
heat%20wave,"Abuja,Nigeria",I can feel the heat wave! Harmattan is over
wreckage,"British Columbia, Canada","Stunning drone video of Bound Brook fire aftermath shows charred, smoldering wreckage https://t.co/Zc5tKjzpZO"
bomb,,"BREAKING: Bomb in Van of NJ Kosher Market Terror Suspects Could’ve Killed People 5 Football Fields Away, Officials Say - h…"
weapons,"Baltimore, MD",Still who sent… https://t.co/TJAnSiTc8b
collided,Met bts on 11.15.17,YALL MY TWO WORLD COLLIDED ONCE AGAIN!! YOONGI WITH MAX IM CRYING I DID NOT EXPECT THAT
hail,,hail to the king👑 https://t.co/eHNCIukwMt
obliteration,"Tyrone, GA",I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration.
trouble,Australia,It's Parliament as a whole has an onus for this&amp; the deterioration's down to all.… https://t.co/Xw2mI4quzr
weapon,Deutschland,"It's no Golden Demon Mini and still WIP but i'm proud of my growing ""painting skills"". I would love t… https://t.co/5ExUpC55en"
sunk,,#CBUY seller done and voting can begin Roberto Sella sunk £4mln+into it at 5p+ and now wants to pull a fast one ag… https://t.co/DdtWeLHVRk
trapped,,We are trapped in a prison of fonts
avalanche,"San Francisco, CA","And both my Senators are firmly on the Trump train. I STILL call and email and raise my voice, even whe…"
collision,"East, England",** Cleared ** The vehicles involved in the collision have been moved to a safe location and all lanes have reopened… https://t.co/E8NNC7lqD4
drowning,,“Sometimes we need to disconnect to reconnect. Taking a break is necessary to save yourself and others from drowning.” — Maine Mend…
derailment,,Unnecessary? How do you know they were unnecessary? May have been something on the tracks th… https://t.co/YrNvQ238CV
desolate,India,"Hindus lost each and every battle v/s Mughals? Aurangzeb-"" There is no province or district where the grovelling infidels(=…"
storm,"Cookeville, TN",Ok this storm is crazy 😳😳😳😳
dust%20storm,"Washington, DC",BBC News - Harry and Meghan: The royal couple are looking for the exit Take the EXIT! Take the Exit! Take the Exit!… https://t.co/FM02GI1qk5
crush,kung san may pagkain ✊🏻,hELOO ULIT CRUSH HEHE! https://t.co/B9Xp9R7niQ
casualties,Ελλάδα,"I just received the confirmation that the first revenge of #QassemSoleimani came from #Taliban whose delegation, after the at…"
blight,"River Acheron, Cocytus",fuck this dude too https://t.co/b3xs8qfyFH
rioting,Transnational Solidarity,2 of 6 defendants -- but not Joey Gibson -- plead to rioting in Patriot Prayer-antifa clash https://t.co/wZJnjZ5inM
ablaze,,I swear that jam will set the world ablaze
battle,,"One Its, let's remember X1's words. X1 exists because of us. If we give up on them, who would fight? The announcement of s…"
bombing,,My history teacher in England used to ask me to account to the class whenever there was an IRA bombing in t…
panic,too far from home,"Yeah, now that I'm thinking about it, Indiana Jones is definitely one of those char… https://t.co/9PQ8CF6HCW"
nuclear%20reactor,,Other than the existence of #AtomicGardening itself... ...what I find most fascinating here is usage of the indexicalit…
snowstorm,,Dude made his wife get off the plane for his side piece and she had to drive thru a snowstorm on a mountain dolo c'mon m…
rescue,"Adelaide,  Australia",Our engineers from 2nd Engineer Regiment continue to help rescue and assist wildlife alongside the …
stretcher,ALMONDMILKY WAY,if excision plays headbanga at thunderdome i need you all to know that I will loterallt die like I will literally l… https://t.co/sXnuoYlobv
landslide,NYC,"“All countries should treat Taiwan as a partner, not an issue.” After being re-elected on Saturday in a landslide, Taiwanes…"
destruction,London on sea,"I take off my blindfold. Before me is a gory tableau of death and destruction, bodies strewn across the landscape. The p…"
war%20zone,Everwhere,So when are you lot sorting out the war zone that is Piccadilly Gardens?
injury,,Manchester United are considering offering Nemanja Matić a new contract because of their injury crisis. (Source: Daily…
collide,"Kent, UK",Kate wasnt looking for fame and to heighten her profile and she was marry… https://t.co/3cZ4YfA3fI
burning,,What do you need to start a successful business? Three simple things 1)know your product better than anyone 2)know your cus…
desolate,Boston MA,"Inside Trump's Head Pelosi teaching Hillary to play chess. Biden: This place is so desolate, doe… https://t.co/vL9AIpyOtH"
bush%20fires,,"This story of Jimmy is utterly heartbreaking. 'When people talk about these fires, they often speak of being overwhelmed b…"
drowning,,I look around me and it seems like everyone else has their shit together and I’m drowning in confusion and tiredness 😭
crush,,IF 👏🏼 YOUR 👏🏼 WOMAN 👏🏼 LIKES 👏🏼 BEING 👏🏼 CHOKED 👏🏼 DURING 👏🏼 SEX 👏🏼 YOU'RE 👏🏼 SUPPOSED 👏🏼 TO 👏🏼 SQUEEZE 👏🏼 THE 👏🏼 SIDES 👏🏼 OF…
ambulance,Malawi,Angels Over Africa: A Netcare 911 air ambulance with Doctor and Paramedic has been activated for an inter-hospital-trans…
destroyed,,"We have destroyed crops and aquatic resources, damages to properties, and livelihood of people that has been tempora…"
bombing,"Jakarta, Indonesia","On January 14, 2016 at 10:30 WIB, the first bomb blasted the Starbucks outlet at the area’s Cakrawala Building https://t.co/NGkwlTccXz"
weapons,,Buhari was all about a section of the North regaining the rulership of the country &amp; establishing a total dominance.…
hazard,,Blue Mountains resident fought for permission to hazard reduction burn for two and a half years... https://t.co/hkFb36…
disaster,"Dallas, Texas",And no thanks. We’re seeing right now what a disaster electing inexperienced celebrities is
deaths,Sydney Australia,When people like the president engage in disinformation - it is an attack against us all. It isn't normal or harmless…
rescued,"rw, manilaaaah",My heart is so happy knowing that animals are being rescued ❤️❤️
rubble,"Aberdeen, Scotland",Man charged after north-east motorists crash into boulders and rubble shed from lorry https://t.co/1zjJWb3IMi https://t.co/U4d8MLjJmP
rioting,,If U get gangs of young Muslim men rioting in the streets U should use video recorder to prove they are violent ove… https://t.co/vLM1uGH05n
body%20bags,,Plastic bags! But the body bags are the real issue . GTFOH
destroyed,Australia,"That was always the problem with Abbott. He served two iconic Australian volunteer services, Lifesaving &amp; Firefighters. Th…"
terrorism,cairo egypt,That awkward moment when everyone at the meeting is asking who invited #Turkey to a meeting about #Libya? The fact that #Erdo…
flames,"Perth, Western Australia",Phoenix from the Flames -Eddie Cavanagh🤣🤣
bush%20fires,,This is what smoke blown in from bad bush fires look like
collapse,Melbourne(-ish),"Tennis quotes today, from: “I have never experienced anything like this. I was really scared I would collapse.” “I’m ang…"
natural%20disaster,India,That is Natural disaster... that is not 9th wonder of world.. very cheap minds 🤣🤣🤣
snowstorm,Redneck Riviera - Google It,"If that all wasn’t bad enough, they faked a medical emergency which, during a snowstorm, put first responders at risk &amp; too…"
violent%20storm,Contemplating the end,Endless violent fecal storm.
quarantined,"Kansas, USA",So sad to be missing the #ClearSkiesRPG premiere on today! I’m currently stuck in bed with a cough and 102 f…
nuclear%20disaster,Toronto,I checked to see if he made a statement about the #nuclear power plant warning this we… https://t.co/ansO8PiVqn
refugees,am,#HouseofLords #WithdrawalAgreementBill Lord Dubbs found nothing in the Tory manifesto saying it would remove the right of…
arsonist,"Townsville, Queensland",Have I got this right #Arsonist in Chief of #AustraliaBurning Morrison is even smugger &amp; smirkier than usual bc he clai…
deluge,"Rosscarbery, Co. Cork","It’s weird after deluge &amp; driving wind, now it’s windy &amp; cold. Time out to light the fire &amp; warm up https://t.co/91rXQAVeUC"
bloody,,Bloody HELL https://t.co/IKhk6FwWbd
aftershock,,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS
razed,Global,Authorities in #Kerala India razed two luxury high rise apartment buildings for violating environmental laws. #Clima…
evacuate,Republic of the Philippines,Let's listen to the experts for a change. I hope they evacuate all including the hapless animals before it's really too lat…
burned,"England, United Kingdom","To try to make a negative into a positive situation, the back hasn’t burned so maybe I could frame it? w…"
fear,Sydney Australia,"“Apocalyptic” scenes of wildlife devastation on Kangaroo Island - witness thousands of dead koalas, kangaroos…"
desolate,,M4 Desolate Space GIVEAWAY! ➤FOLLOW US ➤RETWEET ➤CHECK OUT https://t.co/H07lbtfaQw (Must!) ➤Bonus Entry (Tag friends) Win…
demolish,Ilorin,"Oyo State Governor, Engineer Seyi Makinde, has declared that his government would not demolish any property to facilit…"
deaths,,"Speaker Pelosi, actions speak louder than your words. And ever since you’ve been in Congress, you’ve done…"
chemical%20emergency,brisbane,That whiff is like a major chemical spill.. It's now a major emergency for Libs #auspol Scott Morrison looks f… https://t.co/0ZvKyjBjFO
explode,,Watch the Crowd at the LSU vs Clemson National Title Game Explode in Cheers as President Trump and First Lady Melania Tr…
injured,,"A child, little Richard Clarke, 7 years old, was murdered on 14th January, by a bomb placed in a ventilator and a lady was in…"
collision,,"said every 15 minutes, a road traffic collision is happening on our roads; about 5 people die on our roads eve…"
arsonist,,Moving on very quickly from the bush fires you arsonist
electrocute,Watching you at a coffee shop,Y’all using car batteries to power a vehicle 😂😂😂 while I’m using them to electrocute your girlfriends nipples 😂😂😂
demolished,Nepal,28 menstruation huts demolished in a single ward | https://t.co/7atgVQyYmj https://t.co/bR1VDytHFi
upheaval,Wiltshire - UK,"""Rumours of a trial of no notice inspections"". Have they completely lost the plot? https://t.co/EvCqSi8zI0"
lightning,"Sydney, Australia",Thank you all!💛🙏So far 78 donations and ~$360 AUD raised in under a day! Let's keep it going! #BushfireAppealofSatoshi…
wild%20fires,Oklahoma,"There's method to the madness with the California wild fires. Instead of foreclosures in mass, creating a situation… https://t.co/hyZEBMAXyk"
drowned,,You told me the sky was ours. I thought we owned the stars، the moon and the sun. I thought we would rule everythin… https://t.co/C1oJZbEsfG
derailment,,Yesterday it was power problems and stranded at Royston and today its a train derailment and temporarily stranded a… https://t.co/hYEGiYGz5O
demolished,"Patna, India",And now tell us Why ahmedi mosque are being demolished in pak Why ahmedi ar… https://t.co/IVmYazdNgD
razed,"Abuja, Nigeria",Abuja furniture shop razed by fire https://t.co/zyQO0DGPAN https://t.co/PGkCwezy17
suicide%20bombing,"Greenville, SC",The latest in chic suicide bombing apparel.
casualties,,Ilhan Omar laughs and jokes around as her colleague discusses U.S. casualties in Iraq https://t.co/LfpLyXLPQG https://t.co…
derailed,"Cambridge, England",In my infinite wisdom I decided to try the train again this morning instead of WFH because the problems were fixed.… https://t.co/ZX4tTj0zh4
buildings%20on%20fire,Australia,"Bushfire lessons available to act on ahead of royal commission, experts say ensuring towns have multiple access roa… https://t.co/IWETVdgIkW"
nuclear%20reactor,Home depot lumber section,I prefer warming up my sausage rolls in my small nuclear reactor. I have lost all my ha… https://t.co/JbiWFkjNPl
mass%20murderer,,1495Days Since the inhuman #ZariaGenocide by wicked mass murderer tyrant : 548 men murdered 297 women murdered 19…
threat,"Boston, MA","They were harsh. ""She may look clean..."" &amp; the threat of catching VD meant you let Hitler win."
demolition,Port Harcourt,#MorningCrossfire: Demolition Of Buildings For Flyover Construction . The land use Act states the method for compe… https://t.co/HFe5CNy5JN
drown,trundling around Perth in the 42 and 318,just fucking drown the little shits &gt;&gt; Police spat at in water park fracas as troublemakers threaten more to come… https://t.co/bbMm3uZf7q
military,,Check out what I found. JAPAN WWII Military Old battlefield picture postcard NORTH CHINA WW2 https://t.co/EX1yYQRmI2 via
ambulance,"Melbourne, Victoria","Yer severe Ambulance ramping, under funding/resourcing… https://t.co/kpenM6wiej"
aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me
bloody,,"Good grief, that's not a shower, that's a fucking jet wash. Have to be careful not to aim at the ceiling, we'll take the bloody paint off."
buildings%20burning,"Sarasota, FL",Because lazy people run into burning buildings to save people. https://t.co/fWXPCLlZ6B
burned,On the road again,The trial over Ghylaine Bouchait is underway in Nanterre outside Paris. She burned to death inside her apartment in a fire…
flattened,"nothing personal, kid","oh no, not only does the dog have earpods and so he cant hear us, but he cant move or speak cuz hes been f… https://t.co/nU7FtvPZb3"
snowstorm,MD•TX•NY•AZ•Scarbs at ❤️,It’s funny because I’ve lived in tundra szn and I’ve walked home from work in a snowstorm on a day… https://t.co/O1LHRHTY3w
wreckage,"Madrid, Spain",#Iran agreed to give Canada access to the wreckage and the black box from downed Ukrainian plane. But Canadian officials ar…
devastation,,I know it's all about Taal and Pinatubo pero Mt Apo please never eveeeer wake up. You're the mightiest volcano in the…
loud%20bang,"Essex, England",Exactly and then you bump into those that heard a loud bang once and claim they’ve got PTSD
inundation,"South West, England","So, a world-building detail I forgot about last night with ""Inundation Hour"" - chlorophyll!"
flattened,,He gave her the car. He flattened the tire so she couldn't leave before the cops came. He called the…
danger,NEW YORK,"German news magazine rips Trump, calling him 'unfit' and 'a danger to the world' https://t.co/RnlrNjvxcY"
annihilated,,LSU would have annihilated the ohio state university. They couldn't even dominate Wisconsin… https://t.co/YnYvUiZO0T
mass%20murder,,"Thank You Yogi ji? Like Seriously? Kis Baat ka Thank You? Thank You for All The Riots, Mass Murder of Muslims and Dalit…"
quarantine,,We know that’s why Mom has your ass quarantine 😂
fatality,"Cork, Ireland","How Oslo - a city three times the size of #cork but that also has hills and bad weather - reduced the number of pedestrian,…"
meltdown,Sweden,Let us also thank the two strong women for Gen Zorro ’s perpetual public meltdown. The m…
smoke,,Real man dont smoke.
derailed,"New Delhi, India","The unfortunate part of Hindu society is that whenever we start discussions about our society, someone br…"
airplane%20accident,United Kingdom,"And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it was an…"
epicentre,,"Cudgewa in the epicentre of the fires near Corryong, all pasture paddocks burnt , houses burnt , stock losses , cat… https://t.co/Q7Tcsn6jyR"
displaced,"Orange County, CA.",VentureBeat: Facebook’s Displacement Maps track daily movements of populations displaced by natural disasters https://t.co/DzXnbdUNBv
apocalypse,Hell,Texsch literally caused the apocalypse and that's invalid :o)
outbreak,Maldives,Why is Dr. Nazla still asking people who have measles symptoms to go to the hospital? This is an OUTBREAK.HPA has enough r…
bloody,Wadi Al Kensal Rise,"That bloody Iran plane missile story. I tweeted ""evidence"" that it might have been an American missile. Then the ba… https://t.co/u6zgs8JNm4"
lightning,,A look inside a tree that has been struck by lightning. https://t.co/IGcgu00fYm
mass%20murder,,Shot: Nazi flag flies over Australia; glorifying mass murder. Chaser: Chinese Communist flag flies over Australian… https://t.co/dYgxZjuPcX
bloody,From Westminster to Hong Kong,Taiwaners know what they’re talking about here. Repression esp. pre-87 under the KMT was often bloody. In 1989 I was caught i…
whirlwind,"England, United Kingdom",PARALLEL-dir #FeatureFilm A whirlwind romance with a killer twist! To watch CLICK HERE=&gt; https://t.co/Rfcfi…
emergency,The European Union (EU),Toronto-area residents had a rude awakening Sunday after receiving a false alert about a nuclear power-plant emerge… https://t.co/Shzmi0h1TL
crashed,"Tucson, AZ","Boeing employees mocked Lion Air staff for seeking 737 Max training, calling them ""idiots."" A year later 189 people died when…"
heat%20wave,,Got up to 15 today and it felt like a heat wave #alaska
annihilation,Where the doggos are,[AUS] Vic Bushfire Appeal | Doggos | Animal Farm | Tomb of Annihilation https://t.co/SgKNEDTlto
traumatised,"Grand Casablanca, Morocco","No it's not recent, she just needed to get it out of her chest, hit she was still traumati… https://t.co/UkXTGMWtbv"
emergency,,This week in the Commons I voiced concerns that our environmental standards will be lowered post-Brexit. We are in a climat…
bomb,"St Louis, MO",Arrest made in 2 separate bomb threats in O’Fallon MO https://t.co/Ng39nxkDme https://t.co/PswzP5BPQj
death,Australia,Mustafa Kassem died yday in a cold Egyptian prison. He was 54. His lawyer said Kassem was diabetic with a heart condition &amp; w…
loud%20bang,natangina owo,Yuri: [throwing stones at Yena’s window] Yena [yelling]: YURI!!! YOU HAVE A PHONE FOR A REASON! [loud bang] Yena: W…
electrocuted,"Bengaluru, India",Lawyer who gave aid to anti-CAA protestors electrocuted by UP cops https://t.co/4CbxY3dh58
derailed,,Freight train derailed ahead of you. They doing checks
thunder,Somewhere,Thunder miss you plz get back on the court soon 🥺🥺 https://t.co/XfWTcpIoAo
snowstorm,,"494. On account of the snowstorm, all the trains on the line ceased running at four o’clock."
fatality,Queen of Trolls,Dudes be solving your problems so fast like sir first off slow down. Be dramatic with me for a second lmao.
terrorist,Was,realDonaldTrump: #CovFeFe #ShitFlingingOrangeMacaque Can you believe this jerk is our President? #StateOfTheUniom… https://t.co/OMydHIsxmF
traumatised,Republic of the Philippines,It's 2020 and I'm still Traumatised for what you have done to me. Teka bat may kneadable eraser sa mukha niya HAHA… https://t.co/92mXfYxavh
blood,"Atlanta, GA","My niece is still in the hospital, waiting for a neurologist to see her. She may have a B12 and/or a folic acid deficie…"
drowning,"Santiago City, Cagayan Valley",someone forgot to teach us how to stay alive when the drowning is from inside.
siren,Ukraine,"“At least sucide bombers are activists, what have you done?” Being an activist does… https://t.co/9ImT8WYY0y"
chemical%20emergency,"Melbourne, Australia",Chemical Hazard - Advice for Cobram. For more info: https://t.co/sZvwPsq5NP #vichazmat
sirens,,Sleeping with sirens Sleeping with sirens Well i guess just 2
survive,UK,Love can drive you crazy... in more ways than one! Crazy Over You https://t.co/mBPSHveJiV Can #love survive infidelity?…
stretcher,Aldershot United Kingdom,"PT for Nijmegen is a Stretcher Race around Hyde Park, soon they will deploy to The Falklands to assist the Battalio… https://t.co/zLlDZjc8Od"
drowned,Lagos Nigeria,Every Pharaoh assigned against you are incapacitated and drowned. Your glory shall never be weak or silent in Jesus name
fatalities,"Valhalla, Maui & Geneva","Since 2020 began, Jakarta, Indonesia has experienced a lot of flooding that has caused many fatalities. NASA researchers an…"
eyewitness,"Huntsville, AL",No and I never heard of people who say they are innocent and refuse to call eyewitness testimony to c… https://t.co/DhTD2WV0sw
flames,,It’s not game. Race time is serious business. https://t.co/SJZ7i4Y3n3
evacuation,,"VP Leni Robredo visits evacuees in Sta. Teresita, Batangas for the distribution of food packs &amp; face masks in the aftermat…"
demolished,,After #NankanaSahib Reports of Sikh houses demolished and expulsion in Madhya Pradesh After being on same page with Pak…
derailment,,"Hichin derailment, told could use train tix on local bus at LET to get to STE. Not accepting. Now out of… https://t.co/NXjr8Gco6F"
hazard,41168145,I am the hazard
eyewitness,Orlando,Will hearts break? The truth could hurt when #TheGoodDoctor returns TONIGHT at 10 on #wftv followed by Eyewitness N… https://t.co/QvKezpPvEb
hijacking,Baltimore/Nashville,Not OK: Racists cynically market hate by hijacking mainstream symbolism https://t.co/IrKGuJ9SG9
demolish,"Hyderabad, India","A primary school mathematics textbook in India has a question: ""If 15 kar sevaks (Hindu volunteers) demolish the Babri mo…"
bush%20fires,,"Two Men arrested on suspicion of terrorism in Australia for starting bush-fires, laugh.... Nearly half a billion animals h…"
blew%20up,uk | ˣᵗʳᵃ ᵇᵖʷ,um good morning this blew up what https://t.co/9jiWEPcFPk
suicide%20bomb,northport ny,ISIS strap suicide vests to PUPPIES in horror footage of sick front line bomb tactic https://t.co/P1j7jge3zF
refugees,Gold Coast,#JFC #PeterDutton is a first class arsehole. He has to be the most evil politician in Australia #Refugees #SriLanka… https://t.co/n7e8K2Fq8q
refugees,UK,She is spot on. This has to be stopped. Dover MP demands refugees be 'immediately sent back to France' https://t.co/dRxDdh…
forest%20fires,Teesside,"Forrest fires in Oz are ""not man made"" then claim its down to poor… https://t.co/Dlcqt32Mzv"
detonate,"North Carolina, USA",You are the LEADER of a country that: shot down a civilian airliner; arrested the U.K. ambassador; routinely k…
casualties,,"New images are released from Ayn Al-Assad airbase where was attacked by Iranian ballistic missiles. Just remember, "" There…"
harm,"Leeds, England","Finally, also massively important to note that all of these recommendations are intended to reduce harm and minimis… https://t.co/2KEMHIw2Qa"
